id,setting
8217,public
71759,private
41181,public
34327,public
110640,private
108839,public
58594,public
23388,private
111069,private
45758,public
78399,public
67382,public
124207,public
43616,private
64637,private
38693,public
86047,private
6559,public
4388,public
10084,private
21220,private
13743,private
115238,private
60924,public
7503,public
99264,private
7919,public
45937,public
100726,public
9094,public
46589,public
59371,public
58746,private
49229,private
45417,private
37990,private
70089,private
87766,public
29409,public
9334,private
21832,public
88085,private
44373,private
31394,public
65454,public
99907,public
19021,private
1706,private
45673,public
40052,private
65543,private
70794,public
123351,private
6907,private
116131,public
41124,public
124597,public
98983,public
78955,public
91745,private
39184,private
36221,public
102400,public
119302,private
3286,private
102325,public
86182,private
106112,private
28868,public
30375,public
49580,public
9707,private
30615,public
88439,private
115417,public
105372,private
39978,public
71804,private
78150,private
3062,private
63596,public
117464,public
85444,public
17601,public
78822,private
88212,private
54065,private
108895,public
16290,private
83571,private
68568,private
88723,public
86810,public
27959,private
86753,public
116552,public
55833,private
67132,private
27737,public
95098,private
12926,public
108533,public
4959,public
60550,public
45967,private
3661,public
58071,public
124690,public
75056,public
23138,public
4844,private
81661,private
75133,private
91456,private
80607,private
49628,public
20777,private
122380,private
9616,public
27097,public
31827,private
54057,private
54093,public
89051,public
83245,private
13668,public
68247,public
123368,private
29797,public
40223,public
79348,public
17290,private
107102,private
31624,private
44189,public
4967,public
73920,private
53293,private
114514,public
93244,public
38418,private
24302,private
104251,private
45570,private
108107,public
7157,public
28626,public
82546,public
14312,private
40233,private
105022,public
2829,private
78478,public
71129,public
94309,private
11999,private
3054,public
50364,private
43900,private
69059,private
11432,private
46361,private
83900,public
29740,private
51892,private
90490,public
2807,public
125454,public
54120,public
28519,public
72437,public
122759,private
21651,public
64128,private
75186,public
65830,public
27928,public
88201,private
67653,public
67934,public
18721,public
113387,public
112325,private
98229,private
51117,private
24643,public
38258,public
14725,private
4890,public
94597,private
57776,public
47367,private
47015,public
125896,public
122718,private
58665,private
104905,private
19962,public
63665,private
116855,public
64870,public
38519,public
49093,private
124432,public
42949,private
14649,private
75920,private
55328,public
31097,private
28260,public
96139,private
113346,public
5184,public
12042,public
61071,private
54210,public
17020,private
54170,private
64065,private
15874,private
90765,private
62128,public
39480,private
14844,private
74013,public
69131,public
108460,public
69847,private
26995,public
33920,public
42715,private
3231,public
42495,public
75051,public
91502,public
64674,public
102728,public
94457,public
77967,public
89398,public
54131,public
1049,public
14031,public
34411,private
92341,private
101718,public
38465,private
65446,public
59745,public
5245,public
7845,public
94027,public
43670,public
90966,private
93587,public
10396,private
78755,public
26490,public
32538,private
76894,private
74170,public
3270,private
114202,public
112241,private
27908,public
68770,private
28623,public
111176,public
15346,public
104301,public
41495,public
40924,public
33110,public
112970,public
33356,public
59105,private
89928,public
122060,private
103999,public
82202,public
81357,public
119794,public
54756,private
124414,public
33669,private
75626,public
110270,public
23916,public
19279,private
79692,public
78361,public
26087,private
50236,public
20382,private
78155,private
77285,public
121155,private
15046,private
110108,private
41171,public
11113,private
62902,private
36522,private
96445,private
73380,public
90541,public
79583,public
19612,public
119174,public
4798,private
100777,private
9689,public
96802,public
4874,private
63043,public
26373,private
89211,private
120718,public
123653,public
94358,public
1516,public
97749,private
40332,private
121911,public
97382,private
22432,private
105856,private
27934,private
96358,public
23296,private
68403,public
78816,private
81973,public
95242,public
125040,public
47110,public
18859,public
48235,public
4727,public
109996,public
42507,private
97583,public
74540,public
16766,private
24062,public
58167,private
84185,public
46468,public
22353,public
59234,private
21805,public
26291,public
18142,private
99049,public
13136,public
43559,public
104950,public
63403,public
110415,private
76469,private
44029,private
20504,private
12277,public
112562,private
95812,public
64539,public
37448,private
113795,public
99554,public
20358,public
69616,public
58592,private
119225,private
89382,private
95936,public
35017,public
28810,private
101723,private
2168,public
23128,public
1149,public
33689,public
70024,private
4586,private
23720,private
6161,private
44501,private
20754,private
94181,private
31886,private
60222,public
113374,public
62453,private
79813,private
13233,private
92418,private
98663,public
38869,private
44219,private
8073,public
113986,private
125287,public
33239,public
27041,private
40134,private
111005,public
45483,public
9827,private
74649,private
102770,public
104706,private
109304,public
70096,private
95432,private
103079,private
103622,private
115270,public
49247,public
57461,private
115278,private
80922,public
120210,private
99980,public
94620,public
82699,public
24763,public
123379,public
26659,private
26835,public
6571,private
85931,public
39162,public
62212,private
28477,private
46894,public
40251,private
80314,private
100129,private
94205,public
7398,public
88586,private
46862,private
40639,private
45040,public
32537,private
6544,public
101537,public
30208,private
122586,public
4282,private
20973,public
84180,public
86804,private
58843,public
111974,private
109439,public
21089,public
94799,private
9245,public
15804,private
85754,public
48752,public
97192,public
109274,private
43102,private
54982,public
69022,private
58020,private
14767,private
50147,private
95712,public
110438,public
64423,private
107731,public
44746,public
74788,public
10021,public
124459,private
69558,private
3050,private
73719,public
59019,private
71509,public
35056,public
107009,public
121003,private
54970,public
12862,private
105129,private
119312,public
50784,public
75003,private
103975,public
33303,private
89723,private
114927,public
73804,public
42076,public
111501,public
48539,public
11877,private
95094,public
95320,private
86848,public
19808,private
46994,private
41562,private
123207,public
80387,private
42781,public
76344,private
22721,private
12469,private
39776,private
99641,private
125168,public
103629,private
64800,private
22105,public
34,public
71947,public
29435,private
68350,public
57965,private
29775,private
97783,private
28949,private
17544,private
64612,private
96117,private
28518,private
92844,public
55860,public
123376,private
108636,public
25966,public
119849,private
66416,public
17398,public
121892,public
19251,private
6862,public
23192,private
115537,public
43190,private
44245,public
4149,public
95643,private
74373,private
7713,private
11412,private
26169,public
117699,private
39606,private
124657,public
33420,private
24538,public
115474,public
101398,public
121976,private
91591,public
92585,private
121247,private
21683,private
6603,public
68904,public
13894,public
17887,private
68031,private
117008,public
93958,public
119479,public
12719,private
98456,private
111807,private
107627,public
91107,private
6277,private
114463,public
48733,private
61379,public
24852,public
89098,public
56829,public
30512,private
93099,private
69961,private
123079,private
80741,public
9726,public
98212,private
14059,private
45530,private
63768,public
36067,public
38167,public
77220,private
54937,private
43863,private
6019,private
16334,public
55294,private
25059,private
37134,private
44330,private
124347,public
90302,public
11529,private
75864,private
86630,public
101291,private
42389,private
87852,public
101039,private
56425,public
115654,public
6023,public
112213,private
84866,private
107103,private
36868,private
9673,private
8075,public
104347,private
21367,public
34782,private
57277,private
94292,private
68398,public
111815,public
110654,private
52281,private
3867,public
116024,private
57121,private
3378,public
77858,private
88501,public
17151,public
31656,public
83863,public
95879,private
119916,private
34993,private
97650,private
100927,public
