id,class
8217,normal
71759,normal
41181,normal
34327,normal
110640,normal
108839,normal
58594,attack
23388,attack
111069,attack
45758,normal
78399,normal
67382,attack
124207,normal
43616,attack
64637,attack
38693,attack
86047,attack
6559,attack
4388,attack
10084,normal
21220,normal
13743,attack
115238,attack
60924,normal
7503,normal
99264,attack
7919,normal
45937,attack
100726,attack
9094,normal
46589,attack
59371,normal
58746,attack
49229,normal
45417,normal
37990,attack
70089,attack
87766,attack
29409,normal
9334,normal
21832,normal
88085,normal
44373,attack
31394,normal
65454,attack
99907,attack
19021,normal
1706,normal
45673,attack
40052,normal
65543,normal
70794,normal
123351,attack
6907,attack
116131,attack
41124,normal
124597,normal
98983,normal
78955,normal
91745,normal
39184,normal
36221,normal
102400,attack
119302,normal
3286,normal
102325,attack
86182,attack
106112,normal
28868,normal
30375,attack
49580,attack
9707,normal
30615,attack
88439,normal
115417,normal
105372,normal
39978,attack
71804,normal
78150,normal
3062,normal
63596,normal
117464,normal
85444,attack
17601,attack
78822,normal
88212,normal
54065,normal
108895,normal
16290,attack
83571,attack
68568,normal
88723,normal
86810,attack
27959,normal
86753,attack
116552,normal
55833,normal
67132,attack
27737,normal
95098,normal
12926,normal
108533,normal
4959,normal
60550,attack
45967,attack
3661,attack
58071,attack
124690,normal
75056,normal
23138,normal
4844,attack
81661,normal
75133,normal
91456,attack
80607,normal
49628,attack
20777,normal
122380,attack
9616,normal
27097,normal
31827,attack
54057,attack
54093,attack
89051,attack
83245,normal
13668,attack
68247,normal
123368,normal
29797,normal
40223,normal
79348,normal
17290,normal
107102,attack
31624,attack
44189,normal
4967,normal
73920,normal
53293,attack
114514,attack
93244,normal
38418,normal
24302,normal
104251,normal
45570,normal
108107,attack
7157,attack
28626,normal
82546,attack
14312,normal
40233,normal
105022,normal
2829,normal
78478,normal
71129,normal
94309,attack
11999,attack
3054,normal
50364,attack
43900,normal
69059,attack
11432,attack
46361,normal
83900,normal
29740,normal
51892,normal
90490,attack
2807,normal
125454,attack
54120,normal
28519,normal
72437,normal
122759,normal
21651,attack
64128,attack
75186,attack
65830,normal
27928,normal
88201,normal
67653,normal
67934,attack
18721,normal
113387,attack
112325,normal
98229,attack
51117,attack
24643,attack
38258,normal
14725,normal
4890,attack
94597,attack
57776,attack
47367,attack
47015,attack
125896,normal
122718,attack
58665,normal
104905,normal
19962,attack
63665,normal
116855,normal
64870,normal
38519,attack
49093,attack
124432,attack
42949,normal
14649,attack
75920,normal
55328,attack
31097,attack
28260,attack
96139,attack
113346,normal
5184,normal
12042,attack
61071,attack
54210,attack
17020,attack
54170,normal
64065,normal
15874,attack
90765,attack
62128,attack
39480,attack
14844,normal
74013,attack
69131,normal
108460,normal
69847,normal
26995,normal
33920,normal
42715,normal
3231,attack
42495,normal
75051,attack
91502,attack
64674,normal
102728,attack
94457,normal
77967,attack
89398,attack
54131,attack
1049,attack
14031,normal
34411,attack
92341,attack
101718,attack
38465,normal
65446,attack
59745,attack
5245,attack
7845,attack
94027,normal
43670,normal
90966,normal
93587,normal
10396,attack
78755,attack
26490,normal
32538,attack
76894,normal
74170,normal
3270,normal
114202,attack
112241,normal
27908,attack
68770,normal
28623,normal
111176,attack
15346,normal
104301,attack
41495,normal
40924,normal
33110,normal
112970,attack
33356,attack
59105,normal
89928,attack
122060,attack
103999,normal
82202,normal
81357,attack
119794,normal
54756,normal
124414,normal
33669,normal
75626,attack
110270,attack
23916,attack
19279,attack
79692,attack
78361,normal
26087,attack
50236,normal
20382,normal
78155,attack
77285,normal
121155,attack
15046,attack
110108,attack
41171,normal
11113,attack
62902,attack
36522,normal
96445,normal
73380,normal
90541,normal
79583,normal
19612,attack
119174,normal
4798,normal
100777,attack
9689,attack
96802,normal
4874,normal
63043,normal
26373,normal
89211,normal
120718,attack
123653,attack
94358,normal
1516,normal
97749,attack
40332,normal
121911,attack
97382,attack
22432,normal
105856,attack
27934,attack
96358,normal
23296,normal
68403,attack
78816,normal
81973,normal
95242,normal
125040,attack
47110,attack
18859,normal
48235,attack
4727,attack
109996,attack
42507,attack
97583,normal
74540,normal
16766,attack
24062,attack
58167,attack
84185,attack
46468,attack
22353,attack
59234,attack
21805,normal
26291,normal
18142,normal
99049,attack
13136,normal
43559,attack
104950,attack
63403,normal
110415,attack
76469,attack
44029,normal
20504,normal
12277,normal
112562,attack
95812,normal
64539,attack
37448,normal
113795,attack
99554,normal
20358,normal
69616,attack
58592,normal
119225,attack
89382,normal
95936,normal
35017,normal
28810,attack
101723,normal
2168,attack
23128,normal
1149,attack
33689,attack
70024,attack
4586,attack
23720,attack
6161,attack
44501,attack
20754,normal
94181,attack
31886,normal
60222,attack
113374,normal
62453,normal
79813,normal
13233,attack
92418,attack
98663,normal
38869,normal
44219,normal
8073,attack
113986,normal
125287,normal
33239,attack
27041,normal
40134,attack
111005,normal
45483,normal
9827,normal
74649,attack
102770,attack
104706,normal
109304,normal
70096,normal
95432,attack
103079,attack
103622,normal
115270,normal
49247,normal
57461,attack
115278,normal
80922,normal
120210,attack
99980,normal
94620,normal
82699,normal
24763,normal
123379,normal
26659,normal
26835,normal
6571,normal
85931,normal
39162,attack
62212,normal
28477,attack
46894,attack
40251,attack
80314,attack
100129,normal
94205,normal
7398,attack
88586,attack
46862,attack
40639,attack
45040,normal
32537,normal
6544,attack
101537,normal
30208,attack
122586,attack
4282,attack
20973,attack
84180,attack
86804,normal
58843,normal
111974,normal
109439,normal
21089,normal
94799,normal
9245,attack
15804,normal
85754,attack
48752,normal
97192,normal
109274,attack
43102,attack
54982,attack
69022,normal
58020,attack
14767,normal
50147,normal
95712,attack
110438,attack
64423,attack
107731,attack
44746,normal
74788,normal
10021,attack
124459,normal
69558,attack
3050,normal
73719,attack
59019,normal
71509,normal
35056,attack
107009,attack
121003,normal
54970,normal
12862,attack
105129,attack
119312,normal
50784,normal
75003,attack
103975,normal
33303,normal
89723,normal
114927,normal
73804,normal
42076,normal
111501,attack
48539,normal
11877,normal
95094,attack
95320,attack
86848,normal
19808,normal
46994,attack
41562,normal
123207,normal
80387,attack
42781,normal
76344,normal
22721,normal
12469,attack
39776,normal
99641,normal
125168,attack
103629,normal
64800,normal
22105,attack
34,normal
71947,normal
29435,normal
68350,attack
57965,normal
29775,normal
97783,attack
28949,attack
17544,attack
64612,attack
96117,normal
28518,normal
92844,attack
55860,normal
123376,normal
108636,attack
25966,normal
119849,attack
66416,normal
17398,attack
121892,attack
19251,attack
6862,attack
23192,attack
115537,attack
43190,normal
44245,normal
4149,normal
95643,attack
74373,attack
7713,attack
11412,normal
26169,attack
117699,normal
39606,normal
124657,attack
33420,normal
24538,attack
115474,normal
101398,normal
121976,attack
91591,normal
92585,normal
121247,attack
21683,attack
6603,normal
68904,normal
13894,normal
17887,normal
68031,attack
117008,normal
93958,attack
119479,normal
12719,normal
98456,attack
111807,normal
107627,normal
91107,attack
6277,attack
114463,normal
48733,normal
61379,attack
24852,normal
89098,attack
56829,attack
30512,normal
93099,normal
69961,attack
123079,attack
80741,normal
9726,normal
98212,normal
14059,attack
45530,normal
63768,attack
36067,attack
38167,normal
77220,attack
54937,normal
43863,normal
6019,attack
16334,attack
55294,attack
25059,normal
37134,attack
44330,normal
124347,attack
90302,normal
11529,attack
75864,attack
86630,attack
101291,normal
42389,normal
87852,attack
101039,normal
56425,normal
115654,normal
6023,attack
112213,normal
84866,normal
107103,attack
36868,attack
9673,normal
8075,attack
104347,normal
21367,normal
34782,attack
57277,attack
94292,attack
68398,attack
111815,normal
110654,normal
52281,normal
3867,attack
116024,normal
57121,attack
3378,normal
77858,attack
88501,attack
17151,normal
31656,normal
83863,normal
95879,attack
119916,normal
34993,attack
97650,attack
100927,attack
99676,attack
24576,normal
89740,normal
85333,attack
38888,attack
23766,attack
110794,normal
81526,attack
34961,normal
73658,normal
65259,attack
102922,normal
32258,attack
118814,normal
7142,normal
49940,normal
119292,normal
59004,attack
119401,attack
110546,normal
109970,normal
75205,normal
43291,normal
63260,normal
88436,normal
121930,attack
85698,normal
2508,normal
96413,normal
88826,normal
48483,attack
37337,normal
95573,normal
4178,attack
120342,attack
23744,normal
23313,attack
92363,normal
64804,attack
4913,attack
38117,attack
82378,attack
68046,attack
42413,normal
7786,attack
14722,normal
74724,normal
19094,normal
79082,normal
103743,normal
27970,attack
6675,normal
44251,attack
40729,normal
8219,attack
54810,attack
38474,normal
41801,attack
84401,normal
55853,normal
35181,attack
45147,attack
3709,attack
70258,attack
75930,normal
85570,attack
103307,attack
116420,attack
43812,normal
47025,attack
62512,attack
21873,attack
100714,normal
60366,normal
28634,attack
11990,normal
25826,normal
42907,normal
60115,normal
93410,normal
8549,attack
55962,attack
100267,normal
10843,attack
33392,normal
108402,normal
59189,attack
90560,normal
86159,attack
4102,attack
50741,normal
46174,attack
110538,normal
113350,attack
58212,attack
3593,attack
78250,attack
83173,attack
97320,normal
56364,attack
28942,attack
83429,attack
57887,normal
62853,attack
77606,attack
30817,normal
59860,attack
11531,normal
125220,normal
112199,normal
55427,normal
124729,normal
57473,attack
43508,normal
33988,normal
54024,attack
16762,normal
110104,normal
49284,normal
87409,normal
115013,attack
15837,attack
40120,attack
15663,normal
109489,normal
97772,normal
7175,attack
121116,attack
31302,attack
5951,attack
118967,attack
110623,normal
82290,normal
63215,normal
107774,attack
53331,normal
60176,attack
7673,normal
123131,attack
77703,normal
95825,attack
40997,attack
103557,attack
5751,attack
32816,attack
15465,attack
77406,attack
80078,normal
117248,normal
68505,attack
125625,attack
38688,attack
103721,attack
114962,attack
63010,normal
55660,normal
116928,attack
118642,attack
22828,normal
20302,attack
51221,attack
88308,normal
46049,normal
93825,attack
97353,normal
81514,attack
84589,attack
112281,attack
52590,normal
59134,attack
24068,normal
71306,normal
6486,normal
70664,attack
77592,attack
108157,normal
37376,normal
104288,normal
124628,normal
118990,normal
22006,attack
23322,normal
50886,normal
124544,normal
23747,attack
25721,normal
79775,normal
56595,normal
50146,normal
7718,attack
37744,normal
68483,normal
52680,normal
108354,normal
75601,normal
23302,attack
121414,attack
101085,attack
104675,attack
113498,attack
86643,attack
93949,normal
74264,attack
17991,normal
69122,attack
75007,normal
23228,normal
51172,attack
59826,normal
72407,attack
99699,normal
22553,attack
85147,normal
96599,normal
90019,normal
29757,normal
101236,normal
76004,normal
12793,attack
100291,attack
18411,normal
118688,attack
49981,normal
58900,normal
13596,normal
119650,normal
113076,attack
94095,attack
48116,attack
29328,attack
82552,attack
112743,normal
39709,normal
74940,attack
12062,attack
17744,attack
110536,attack
65662,attack
54399,normal
42157,attack
1507,normal
122529,attack
62897,normal
20112,normal
7748,attack
35205,attack
14527,attack
122077,normal
12453,attack
61946,normal
107734,attack
34362,attack
57724,attack
11081,attack
75136,attack
118385,normal
53964,normal
57813,attack
4403,normal
32273,attack
70877,attack
80017,attack
86205,attack
55842,normal
69026,normal
58561,normal
11876,normal
95342,normal
107801,attack
91256,attack
18707,attack
34671,normal
10580,attack
3230,normal
52102,attack
47690,normal
106882,normal
68529,normal
75420,normal
15825,normal
74752,normal
4938,attack
29995,normal
119674,attack
112239,attack
65038,attack
123917,attack
64963,attack
66827,normal
115545,normal
110542,attack
102137,attack
51686,attack
13625,attack
95259,normal
87909,normal
48916,attack
4269,attack
117713,attack
3714,attack
45561,normal
17508,normal
165,attack
47313,normal
17755,attack
8539,normal
11402,attack
54102,normal
38916,normal
8437,attack
109990,normal
102258,attack
30847,attack
112808,attack
64624,normal
28002,attack
91230,normal
40316,attack
5092,normal
121020,normal
78202,normal
8373,normal
3616,attack
40535,attack
55562,normal
86213,normal
65860,normal
121583,normal
2060,normal
11356,attack
4120,normal
34757,normal
84652,attack
40509,normal
67657,normal
29127,normal
5652,normal
7770,attack
64311,attack
68931,attack
30304,normal
13185,normal
57942,normal
106038,normal
106229,attack
15894,attack
20354,attack
25775,normal
44079,normal
115815,normal
111857,normal
108624,normal
59183,normal
96996,normal
36217,normal
112419,normal
83927,attack
49266,attack
99055,attack
55376,normal
116088,attack
95489,normal
50578,normal
12427,normal
37059,normal
99804,attack
113174,attack
51499,normal
81886,attack
48921,normal
15434,attack
67081,normal
108120,normal
48260,attack
105146,normal
89997,normal
125198,normal
33112,attack
33719,normal
35989,normal
85080,normal
23106,normal
108484,normal
6010,normal
23972,normal
5243,attack
20087,attack
46861,attack
52437,attack
30302,normal
34540,normal
16958,attack
103064,attack
79762,normal
91481,attack
122151,normal
119653,normal
91393,normal
39000,normal
18381,normal
84503,normal
108686,attack
76555,normal
97153,normal
78744,attack
102381,attack
9828,attack
109361,attack
85717,normal
23937,attack
102677,attack
94303,normal
112973,normal
50135,attack
80264,normal
117619,attack
33572,normal
73361,normal
39438,normal
68464,attack
19168,normal
67277,normal
81620,normal
83259,attack
4303,normal
58864,attack
3919,normal
72782,normal
123154,normal
69336,attack
96242,normal
17192,attack
26288,attack
113670,normal
79893,normal
24843,attack
36214,attack
39565,normal
75622,attack
113864,attack
74571,attack
101207,attack
85856,attack
